体重（千克）,身高（厘米）,BMI,水平,性别
25,135,13.71742112,正常,女生
27,128,16.47949219,正常,女生
28,128,17.08984375,正常,女生
32.5,142.5,16.00492459,正常,女生
26,133.5,14.58850594,正常,女生
30,132,17.21763085,正常,女生
28,139,14.49200352,正常,女生
36,141,18.10774106,正常,女生
37,144,17.8433642,正常,女生
31,136.5,16.63781884,正常,女生
28,136.8,14.96186861,正常,女生
28,134,15.59367342,正常,女生
26,122.5,17.32611412,正常,女生
25,129,15.02313563,正常,女生
35,135.5,19.06292126,正常,女生
27,138.5,14.07551252,正常,女生
39,148.5,17.68527021,正常,女生
43,149,19.36849691,正常,女生
29,133.5,16.27179509,正常,女生
30.3,141,15.24068206,正常,女生
45,141,22.63467632,偏高,女生
32,140,16.32653061,正常,女生
36,134,20.04900869,偏高,女生
30,140,15.30612245,正常,女生
31.9,145,15.17241379,正常,女生
56.9,146,26.69356352,偏高,女生
26,135.5,14.16102722,正常,女生
38,144,18.32561728,正常,女生
28,139.5,14.38830436,正常,女生
21,129,12.61943393,偏低,女生
26,130,15.38461538,正常,女生
24,128.5,14.53466366,正常,女生
41,144.5,19.63578022,偏高,女生
34,131,19.81236525,偏高,女生
48,146.5,22.36484991,偏高,女生
44,138,23.10438983,偏高,女生
35.9,138,18.85108171,正常,女生
30,134,16.70750724,正常,女生
28,135,15.36351166,正常,女生
28,132,16.0697888,正常,女生
29,138,15.2278933,正常,女生
34,145,16.17122473,正常,女生
43,133.5,24.12714444,偏高,女生
34,140,17.34693878,正常,女生
36,145.5,17.00499522,正常,女生
30,145,14.26872771,正常,女生
38,144,18.32561728,正常,女生
43,144,20.73688272,偏高,女生
36,142,17.85360048,正常,女生
29,131,16.89878212,正常,女生
58,145,27.5862069,偏高,女生
27,131,15.73334887,正常,女生
34,144,16.39660494,正常,女生
37,144,17.8433642,正常,女生
31.4,133,17.75114478,正常,女生
34,140,17.34693878,正常,女生
25,128,15.25878906,正常,女生
27,131,15.73334887,正常,女生
39,136.5,20.9314495,偏高,女生
65,151,28.5075216,偏高,女生
31,136.5,16.63781884,正常,女生
35,146,16.41959092,正常,女生
36,146,16.88872209,正常,女生
37,143.5,17.96792483,正常,女生
32,136.5,17.17452267,正常,女生
41,147,18.97357582,正常,女生
37,144,17.8433642,正常,女生
44,146,20.64177144,偏高,女生
39,145,18.54934602,正常,女生
41,145,19.50059453,偏高,女生
24,127,14.88002976,正常,女生
30,138,15.75299307,正常,女生
35,145,16.64684899,正常,女生
29,139,15.00957507,正常,女生
33,142,16.36580044,正常,女生
61,154,25.72103221,偏高,女生
34,148,15.52227904,正常,女生
26,133,14.69840014,正常,女生
43,139,22.25557683,偏高,女生
35,148,15.97881665,正常,女生
58,149,26.12494933,偏高,女生
40,147,18.51080568,正常,女生
26,128,15.86914063,正常,女生
35,138,18.37849191,正常,女生
53,154,22.34778209,偏高,女生
41,143,20.04988019,偏高,女生
24,131,13.985199,正常,女生
25,125,16,正常,女生
34,135,18.65569273,正常,女生
37,152,16.01454294,正常,女生
52,150,23.11111111,偏高,女生
26,139,13.45686041,偏低,女生
36,129,21.63331531,偏高,女生
36,135,19.75308642,偏高,女生
26,138,13.65259399,偏低,女生
37,147,17.12249526,正常,女生
31,138,16.27809284,正常,女生
33,137,17.58218339,正常,女生
36,138,18.90359168,正常,女生
39,142,19.34140052,正常,女生
29,140,14.79591837,正常,女生
27,133,15.26372322,正常,女生
27,139,13.97443197,正常,女生
41,143,20.04988019,偏高,女生
32,144,15.43209877,正常,女生
27,137,14.38542277,正常,女生
32,139,16.56228974,正常,女生
36,136,19.46366782,偏高,女生
31,139,16.04471818,正常,女生
28,133,15.8290463,正常,女生
30,142,14.8780004,正常,女生
59,160,23.046875,偏高,女生
40,150,17.77777778,正常,女生
40,148,18.26150475,正常,女生
55,145,26.15933413,偏高,女生
52,150,23.11111111,偏高,女生
44,153,18.7961895,正常,女生
33,137,17.58218339,正常,女生
38,136,20.5449827,偏高,女生
36,143,17.60477285,正常,女生
32,147,14.80864455,正常,女生
33,136,17.8416955,正常,女生
49,145,23.30558859,偏高,女生
32,138,16.80319261,正常,女生
30,129,18.02776275,正常,女生
42,142,20.82920056,偏高,女生
27,133,15.26372322,正常,女生
47,156,19.31295201,正常,女生
28,136,15.1384083,正常,女生
26,134,14.47983961,正常,女生
28,136,15.1384083,正常,女生
30,148,13.69612856,偏低,女生
27,135,14.81481481,正常,女生
29,138,15.2278933,正常,女生
28,140,14.28571429,正常,女生
25,130,14.79289941,正常,女生
59,142,29.26006745,偏高,女生
38,141,19.11372667,正常,女生
30,138,15.75299307,正常,女生
27,138,14.17769376,正常,女生
